author,title,language,token_list_length,node_count,edge_count,average_degree,median_degree,diameter,average_distance,betweenness_min,betweenness_max,betweenness_average,betweenness_standard_deviation,average_clustering,powerlaw_alpha_value,powerlaw_xmin_value,lin_reg_approximation,assortativity_coefficient,stopwords_removed,link_distance,fixed_token_count
Kafka,Schloss,en,60042,5064,73744,29.1248025276461,8,4,2.59408015091989,0,0.260227893363457,0.000314911132145376,0.00405721899244514,0.517283021333417,3.65211278935162,324,0.166834454487939,-0.152439385501386,True,2,0
Austen,Verstand,en,57956,4687,79312,33.8433966289738,8,6,2.61792012687357,0,0.181238303998115,0.000345340475319866,0.00318526959694088,0.462820185487906,2.98824594490226,183,0.110053201807934,-0.153120991522695,True,2,0
Hesse,Steppenwolf,en,34856,5731,56944,19.8722735997208,8,5,2.90306118129776,0,0.0983246352831022,0.000332180342345568,0.00228509665947387,0.399202914134607,2.13582785967857,15,0.112164348239958,-0.0933388611989293,True,2,0
Nietzsche,Zarathustra,en,48135,6297,65682,20.861362553597,6,6,2.78253071842565,0,0.116774654433943,0.000283166118892081,0.00257759794461457,0.498628276160215,2.35070547498463,56,-0.134054116123497,-0.174341189134205,True,2,0
Nietzsche,Menschliches,de,40514,8645,71142,16.4585309427415,4,10,3.0352729080024,0,0.174391987848792,0.000235482229318801,0.00238446323646215,0.417884097131967,2.44007388858963,50,0.088607560995364,-0.0821915780182018,True,2,0
Austen,Stolz,de,49225,6294,75506,23.9930092151255,8,5,2.76028731668352,0,0.113334026949423,0.00027976594352885,0.00278283814498366,0.43433412138142,2.87385450730772,132,0.603068403677378,-0.131380308464745,True,2,0
Austen,Anna,en,40115,4598,60002,26.099173553719,8,7,2.76515131802489,0,0.0610157091891423,0.00038406251480089,0.00227341350509431,0.448982412790606,2.25388637254104,46,0.38029639900095,-0.139966924734769,True,2,0
Kafka,Amerika,de,46176,7219,68470,18.9693863415986,4,6,2.80051487387179,0,0.132858611923914,0.000249482454464707,0.00287720401769801,0.476033195891383,2.80647993696531,149,0.202163441525864,-0.147520366791409,True,2,0
Austen,Verstand,de,58394,7116,86460,24.3001686340641,8,10,2.79667282502942,0,0.115220570609422,0.00025255451574774,0.00245909356419821,0.446726545119046,2.80317730294736,134,0.43830270233555,-0.142520699802346,True,2,0
Kafka,Prozess,en,40862,3368,50784,30.1567695961995,8,5,2.57926892071785,0,0.0965169015640628,0.000469182685893598,0.00345801719530747,0.49590832891082,3.00823429149978,152,0.392211905824985,-0.186087271525832,True,2,0
Austen,Mansfield,en,76352,6417,104437,32.5501012934393,8,5,2.71416489553738,0,0.0600915476305108,0.000267211986833574,0.00185895634460614,0.492478270880832,2.52125872310585,118,0.26831789926876,-0.176174442745167,True,2,0
Nietzsche,Goetzen,en,15221,3750,25882,13.8037333333333,4,7,2.98880469458522,0,0.246686289768954,0.000530630921714307,0.00469774461779986,0.411748399759803,2.32981753176009,16,-0.162843301374633,-0.0810646861072316,True,2,0
Nietzsche,Geburt,en,23121,4858,40603,16.7159324825031,6,7,3.03562717092968,0,0.0690241709066085,0.000419198346567067,0.0023115159346768,0.384944552429764,2.37330542777145,31,0.272851552789437,-0.0644289752574629,True,2,0
Hesse,Siddhartha,de,17052,3477,26788,15.4086856485476,4,6,2.93936481491226,0,0.137956455045822,0.000558090594219357,0.0038058832495196,0.437849416387354,2.26251965201186,19,-0.168576983150812,-0.0973105596852046,True,2,0
Hesse,Camenzind,en,23906,5281,41779,15.8223821245976,4,9,3.05292787752549,0,0.102286425095038,0.000388885750620476,0.00266930973696196,0.387273201714825,2.85072694764524,73,0.139218291401164,-0.0720098114965987,True,2,0
Hesse,Camenzind,de,22819,6514,41685,12.7985876573534,4,9,3.18637480005625,0,0.0856121588749391,0.000335745515979154,0.00234696265017682,0.401648404874623,3.01832001955342,96,0.222923931327009,-0.0724043373229814,True,2,0
Kafka,Prozess,de,37311,5638,53580,19.0067399787159,6,5,2.75722905399465,0,0.136873976675877,0.000311786560325524,0.00343215342052486,0.476868816003548,2.73803935209865,107,0.133307456981197,-0.150669423344261,True,2,0
Nietzsche,Zarathustra,de,44251,7396,65493,17.7103839913467,4,7,3.05278057214195,0,0.0791855497434361,0.000277627883708676,0.00224824165386091,0.479763844901996,2.36054912934466,55,-0.0762579335265328,-0.13212097417081,True,2,0
Nietzsche,Geburt,de,21351,5910,38147,12.9093062605753,4,6,3.100232087392,0,0.191726091387604,0.000355489520547055,0.00318108679317371,0.4104319207777,2.46770336236023,30,0.133469077414134,-0.0783775449518341,True,2,0
Nietzsche,Jenseits,en,32188,6074,53562,17.6364833717484,5,7,2.95823923842617,0,0.127634216111801,0.000322503168383757,0.00283054676566934,0.40929173524507,2.1549746769102,15,0.11390868859125,-0.0982692435996895,True,2,0
